Number Order Height Address Amount(Meer) ComProfit(Meer)
3107 808176 720096 MmLTy2kY5nwHSHaUdTNAsM8G9XzeubcJQaQ 4000.00000000 760.20332898
3108 808239 720155 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 500.00000000 95.02541612
3109 808646 720550 MmaMsH9WZzGvfhw4dVhsdL7haDS8ANUqzNw 1000.00000000 190.05083224
3110 809321 721130 MmiTMKzVyjokcpfoCfL1w6JBB2xnPuro8f7 30.66900000 5.82866897
3111 809412 721199 MmLTy2kY5nwHSHaUdTNAsM8G9XzeubcJQaQ 635.00000000 120.68227847
3112 809975 721661 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 85.00000000 16.15432074
3113 809996 721680 MmWCkg3KXBU8JqkARS3Womj1MhoLGLpfvgc 30000.00000000 5701.52496735
3114 810086 721765 Mme2anh3m5eCXwSTh2aFDxsWF5L8AVMvTcA 1680.00000000 319.28539817
3115 810334 722004 MmR7A9kSAH8PvdwecccMFdMMrz4KExSZiU6 5000.00000000 950.25416122
3116 810472 722126 MmgMPvbacsoFqrZJcqhVm5aMSTVV5t3pVXB 244.00000000 46.37240306
3117 810804 722431 MmZ3uaQyqq4pVKizYAcvHMV3gzjeHtwifcR 25000.00000000 4751.27080612
3118 810972 722578 MmfD3tKoLSp8jcZuBvhBpv8vxfNEdMbR9Ar 782.00000000 148.61975081
3119 810987 722590 MmSzU6tTL5x84nUpESg2Tn5EsQV5ydWcv6j 1680.00000000 319.28539817
3120 810990 722593 Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z 500.00000000 95.02541612
3121 811025 722621 Mmid1xDcThVT6V1bYecuPqSuVg3jbNmkq1B 8900.00000000 1691.45240698
3122 811033 722627 Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z 500.00000000 95.02541612
3123 811214 722792 MmRdV7ikUvP2hJQicvaG5jFgFMDv2PbCVer 500.00000000 95.02541612
3124 811971 723530 MmbBhxR9DNsTAxSb9fkeza31LSpVt6p8kba 10000.00000000 1900.50832245
3125 812307 723842 MmfjZzMqKdAGtcb9Jze9pVrfcmBApUpurUx 700.00000000 133.03558257
3126 812649 724088 MmNRGCaEbe1DHrko2yv5jAXndkNMoVpeFR2 1000.00000000 190.05083224
3127 813125 724475 MmSeJBhxxUcE85LDWt79QCVu5FNM8Y1bnjP 400.00000000 76.02033289
3128 813381 724720 MmdQiYMFNcTz7U4PsNw4Z5imUcYHQdWX27K 540.00000000 102.62744941
3129 813397 724734 MmLTy2kY5nwHSHaUdTNAsM8G9XzeubcJQaQ 1700.00000000 323.08641481
3130 813668 724984 MmPLTR1gSP7ER8f52WriD1sTQMULLf9PnHU 229.00000000 43.52164058
3131 815780 726947 MmaktFeNC9wybbwHo3HN8UkZ7RbkytUgzhU 250.00000000 47.51270806
3132 815926 727042 MmiTMKzVyjokcpfoCfL1w6JBB2xnPuro8f7 32.58000000 6.19185611
3133 816068 727160 MmKoFhzaEc9x1oUKkt5zxXqAcFi92JiDpaG 2419.00000000 459.73296320
3134 816101 727190 MmiJzXoLvoBZiiwMtWLbN2grHRZykRWyzNq 11333.00000000 2153.84608183
3135 816421 727487 MmZCD9mAcTyez44MaTxGmcxLPYf6HoWkxzr 992.00000000 188.53042558
3136 816602 727661 MmhufLtTEgyMrYS96gE1nsK1em7FvgE6hy1 1000.00000000 190.05083224
3137 816846 727869 MmWSXnMoxiZuma4D7TYpQZ6uLFYpiXa8c8X 45.00000000 8.55228745
3138 817013 728016 MmhzXG5PuEdkjJ2gawVfAyVVLS13YQ6y7vp 2040.00000000 387.70369777
3139 817107 728096 MmVQeurhZakXzD3V8RkDFx22cUG96QXbjcC 4000.00000000 760.20332898
3140 817661 728616 MmcKUh713QWjS6a4aTeY3qELecbrs8i5TAu 13000.00000000 2470.66081918
3141 817799 728746 MmRUX47vwuww4J7jxs5VujGr3rRj6tcHnbv 1000.00000000 190.05083224
3142 818744 729644 MmZL4QEqvzfNUJnjNQKk9CKWnmzHxkbEESU 509.00000000 96.73587361
3143 819181 729971 MmZAuxsoFaA42FRXx3kdJ8FqsjKTUhHGJji 250.00000000 47.51270806
3144 819184 729974 MmSXTLNDuyNULDhhzb3JoxgJMjDtGSfGjER 500.00000000 95.02541612
3145 819568 730304 MmSTPCGi7iN7BkrosR6AeRkmYauJrs7QhpL 107.00000000 20.33543905
3146 819838 730527 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 50.00000000 9.50254161
3147 819984 730643 MmRLexyXJaPSBtAhNde9ytUr97q7PRSBzzZ 800.00000000 152.04066579
3148 820067 730714 MmVc3REctzTgBWvWjEds7zawTt1Ec9dJf8c 2237.00000000 425.14371173
3149 820161 730803 MmcMjt9nWSiH13wCJMXNX95FSa5Eap7aPje 2000.00000000 380.10166449
3150 820412 731040 MmLFziFRdTPfGmiLT3n78RVfP5aiomZarxy 300.00000000 57.01524967
3151 820597 731208 MmTNT2YGKa4cWmhjzbk1hP6VKcB17JdnS2M 999.00000000 189.86078141
3152 820655 731257 MmihdusdKe8QtxqiA6mvzUrLecLdpmwhLh2 930.00000000 176.74727398
3153 820751 731346 MmLFziFRdTPfGmiLT3n78RVfP5aiomZarxy 5060.00000000 961.65721115
3154 820968 731553 MmLjvUpbWWc3owLuzCJQ5GsHXhJY3gGLETN 7000.00000000 1330.35582571
3155 821446 732017 MmNRGCaEbe1DHrko2yv5jAXndkNMoVpeFR2 3009.00000000 571.86295422
3156 821610 732179 MmSBoy37jGkkMTE1sk7L9KfVqrFm8khf71W 1000.00000000 190.05083224
3157 822220 732744 Mmi8oYtiWiaNcos5JHMR4gLmK5s1gFEE8hX 1152.00000000 218.93855874
3158 822346 732834 MmazENqv1mU9sy3C3VgKNUiVKAi2ewyZWiE 1000.00000000 190.05083224
3159 822639 733035 Mmi5A1tPpuBWxNPsQybFGH1cg4ky82oCgsZ 317.18000000 60.28032297
3160 822687 733076 MmRLexyXJaPSBtAhNde9ytUr97q7PRSBzzZ 150.00000000 28.50762483
3161 823067 733335 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 500.00000000 95.02541612
3162 823071 733339 MmLTy2kY5nwHSHaUdTNAsM8G9XzeubcJQaQ 499.00000000 94.83536529
3163 823289 733532 MmRZERCDhqpt6afeXbdJWHw4WK39bajpc83 9717.00000000 1846.72393692
3164 823340 733573 MmLTy2kY5nwHSHaUdTNAsM8G9XzeubcJQaQ 1500.00000000 285.07624836
3165 823530 733730 MmZNJDeyZu7EMJsovsw8UweFiSMWnrUhnPS 200.00000000 38.01016644
3166 823535 733732 MmgmZdYombwcny2su5EfiWv6SXmiKNZAneU 200.00000000 38.01016644
3167 825982 735892 Mmi2ECZSGj6ieCxLWhEpBH5DbtQPfJpbRH1 2000.00000000 380.10166449
3168 827168 736971 MmikndRew8p6krerBYYuqnFqi3cpKbybJJn 10000.00000000 1900.50832245
3169 827215 737008 Mmd6TXvV5HYrJuw2C7drbGHCjtaDtxLFcnL 900.00000000 171.04574902
3170 827357 737143 MmSBoy37jGkkMTE1sk7L9KfVqrFm8khf71W 2750.00000000 522.63978867
