Number Order Height Address Amount(Meer) ComProfit(Meer)
1197 382572 360150 MmhBbQniXFgB12aCap9hu2q1UHaJFQFuNtP 499.00000000 46.74913478
1198 382584 360159 Mmf6Ez1qWZtnfLjcDKFdom8URzcchgMBcnZ 500.00000000 46.84282042
1199 382587 360162 Mmd8BAo6XhTrgq41joPbeuqiWWG4qHbUwm7 499.00000000 46.74913478
1200 382682 360240 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 181.00000000 16.95710099
1201 382690 360246 MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge 1236.29648766 115.82322872
1202 382929 360459 MmhTJ8XmAC33m2wCa1wgQg7BT4SBsBxPyFM 513.33000000 48.09165001
1203 383014 360535 Mmgysbae5q8DMRC5sWFpR7bX8QuVaYgYqfY 45.00000000 4.21585383
1204 383615 361056 MmbqCrqt2kZCM3j1ax1Fp15N6sH7HbG3Dtj 100.00000000 9.36856408
1205 383973 361372 MmMZFPMZ3KYMzj6EXQjckQvKqz3SC6t4vDF 1000.00000000 93.68564084
1206 384123 361497 MmdQV9FXLy1xQGJ6aLFgLPLUNceJ94L2p81 2000.00000000 187.37128169
1207 384147 361521 MmdQV9FXLy1xQGJ6aLFgLPLUNceJ94L2p81 1000.00000000 93.68564084
1208 384906 362226 MmQ3RFahCMqY56WuUWRcMtePj9tE4VAPnGC 1000.00000000 93.68564084
1209 385725 362972 MmRPGSpUighToTg2zrzR2ar4x2ftYHP9SxE 2500.00000000 234.21410212
1210 385814 363053 MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 78.00000000 7.30747998
1211 385841 363077 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 205.00000000 19.20555637
1212 386043 363259 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 31.00000000 2.90425486
1213 386136 363346 MmP1Uj7hcLxkSdjamxpsSKmrFQzjHaEid7e 79.00000000 7.40116562
1214 386179 363387 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 100.00000000 9.36856408
1215 386330 363534 MmSBoy37jGkkMTE1sk7L9KfVqrFm8khf71W 1200.00000000 112.42276901
1216 386838 363978 MmfBSxK6o4hzTXArtvtfwURvLkcEL2mdEDx 20.00000000 1.87371281
1217 386988 364100 MmVbvn9P4Smekscv9JAcfMd1tUa6fkPey1Q 6322.93000000 592.36774908
1218 387483 364544 MmMZFPMZ3KYMzj6EXQjckQvKqz3SC6t4vDF 1000.00000000 93.68564084
1219 389071 366041 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 258.00000000 24.17089533
1220 389103 366072 MmY8pvY7CW5RcQxCGHZx7qNbPWhHEhovNdB 1000.00000000 93.68564084
1221 389905 366816 MmguKTvDdpq668U4DfsUFZXVBYjKYbha5pn 460.00000000 43.09539479
1222 389976 366883 Mmd8BAo6XhTrgq41joPbeuqiWWG4qHbUwm7 2000.00000000 187.37128169
1223 390861 367687 MmUPsjLfKK67CNr9BLhczAeF2mY3k8UW5bb 1000.00000000 93.68564084
1224 392123 368809 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 175.00000000 16.39498714
1225 392127 368813 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 44.00000000 4.12216819
1226 392487 369143 MmcME6M5nRLxuqq4QUWNyJ9hHivXPLyBey2 303.37608360 28.42198281
1227 392676 369309 MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 319.00000000 29.88571943
1228 392859 369489 MmX5a4NG8SJKTyPrMeUtXAX1s8j6ZhCmm7J 1000.00000000 93.68564084
1229 393465 370050 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 261.00000000 24.45195226
1230 394013 370554 MmN3naE5eGGaveXQxvgWs3mnwDvSegyUeey 1000.00000000 93.68564084
1231 394726 371233 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 113.00000000 10.58647741
1232 394733 371240 MmirLJXnA5nA8Eih6nQntcm88xCgWDux78w 3000.00000000 281.05692254
1233 395064 371535 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 2000.00000000 187.37128169
1234 395128 371587 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 260.00000000 24.35826662
1235 395425 371863 MmMP7qSXAUak3SyzEtALtd7HH9FZzNxi6qZ 500.00000000 46.84282042
1236 395940 372313 MmYi8hbQgRuETCeiAbjrCK5KP93bEPEMf6g 1403.00000000 131.44095411
1237 396403 372721 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 1000.00000000 93.68564084
1238 396439 372751 MmcAXiANTNbPppzvzt146E75sxEfKKoSear 334.00000000 31.29100404
1239 396571 372871 MmMZFPMZ3KYMzj6EXQjckQvKqz3SC6t4vDF 1000.00000000 93.68564084
1240 398226 374375 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 91.00000000 8.52539331
1241 398265 374409 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 50.00000000 4.68428204
1242 398376 374496 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 268.00000000 25.10775174
1243 398653 374742 MmWfJwxGM1U3uTUGyHYeiBJn9vLTVsh3N8p 400.00000000 37.47425633
1244 398694 374778 MmefBoxbSgopsKZgzCfPp7JdbfNki3Kx9Q3 1260.00000000 118.04390746
1245 398870 374926 MmazENqv1mU9sy3C3VgKNUiVKAi2ewyZWiE 500.00000000 46.84282042
1246 398886 374937 MmRPGSpUighToTg2zrzR2ar4x2ftYHP9SxE 1000.00000000 93.68564084
1247 399171 375193 MmNviYQthctB9tmME78AW2nprJCCpqTptw7 750.00000000 70.26423063
1248 399229 375238 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 1000.00000000 93.68564084
1249 399239 375247 MmWcNTNtqVU5b7LTQ4F4zPQESPsc5tRtMAd 1000.00000000 93.68564084
1250 399246 375254 MmQKu9HbTos6gD4wR2deErWTXdjR55vM3Sp 500.00000000 46.84282042
1251 399413 375414 MmRnJ2VuUp18QsoyDMdruPaewirB8isMUc2 1500.00000000 140.52846127
1252 399510 375496 MmYi8hbQgRuETCeiAbjrCK5KP93bEPEMf6g 180.00000000 16.86341535
1253 400412 376298 MmSXTLNDuyNULDhhzb3JoxgJMjDtGSfGjER 500.00000000 46.84282042
1254 400429 376314 MmZAuxsoFaA42FRXx3kdJ8FqsjKTUhHGJji 40.00000000 3.74742563
1255 401510 377308 MmLixvJUufpqjNtMCoEfo2pe2R1r7Pz1inA 200.00000000 18.73712816
1256 401560 377351 MmNHWpf81ESPKnXZqRT89nhDaxZVLMa7ZYE 120.00000000 11.24227690
1257 401798 377562 MmcAXiANTNbPppzvzt146E75sxEfKKoSear 258.00000000 24.17089533
1258 402104 377815 Mmbet8UhP7YSEnz2qUqFJEzxVx2avaPPSdH 2000.00000000 187.37128169
