Number Order Height TxHash Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
34 63240 63227 df5e0583841d9ac6d56904b0b2008f7e24c46553cc08c114c3ede8c9b1162031 MmTA7j1Jvm9eKpLYXocwKvQsJ9BBp2X8a4j 73.00000000 5 89401.50000000 9.68302050
35 63424 63411 27ec41e1d8c837a7f51aff5282d5ad5de74991284fde29ba2cb09061e123c502 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 50.00000000 5 89451.50000000 6.63220582
36 65432 65419 cd033231557b8fddbc9f90318174b5f2205e251794966136f4ea54dba672ec62 MmZK62ew7q6LXs8bdrtspTd9z2Dw4mhTs81 201.00000000 5 89652.50000000 26.66146740
37 66286 66273 82860d1ca15267ba191c22db72adb39677c5cc8a47646a556a78172067870d3b MmNviYQthctB9tmME78AW2nprJCCpqTptw7 60.00000000 5 89712.50000000 7.95864698
38 66302 66289 51f428959cca066fc36c030671277cc75320de3f5bcdbbe2dd8f4b39bad4caf1 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 50.00000000 5 89762.50000000 6.63220582
39 68305 68292 36b4f5f4b37c58e808c0d942b544513abc003be0352c9ae690d23e951eaa28f6 MmcXsT3NSAyQmmacrBuYtUeMH3pqiYABCpC 500.00000000 5 90262.50000000 66.32205822
40 71618 71605 959a139dae6d5b2f94eaa587a05a80935b8026f18f525ef93a603188a517b0fe MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY 40.00000000 5 90302.50000000 5.30576465
41 71872 71859 b4d5734b9f3733b15863ea1217a728e581301f755e2d8fa1fd1f18aae13d3ec7 MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge 1000.00000000 5 91302.50000000 132.64411645
42 71893 71880 f423b58f31ac1f952e737328a266dd6de14f0c4ef2b662bba9a3f2c5726b8a51 MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge 999.00000000 5 92301.50000000 132.51147233
43 72385 72372 5fbf9b6cf2629aac91ce801e544172461e10faab4f42e7945965994959a72fb0 MmSVtzp25G3PRsc2VYvJ1baogPHV2aKSG72 100.00000000 5 92401.50000000 13.26441164
44 72397 72384 16aa016b481bdf021684b03dc8f324ce532d5208f7302f32fa607740ffcde2d9 MmQeu2Qij8j37gu3qN21hxgG1k1p4XNFBEe 300.00000000 5 92701.50000000 39.79323493
45 72600 72587 d1bc38f136d5c08e57f93ba0e07396459674893485c68703db50520c3df565b1 MmTQPrthUmF5xbuwNQs4aCKq9AbvuTaAJiC 0.00070000 5 92701.50070000 0.00009285
46 73501 73488 d486a543d4fc231cb19bda0e4eafcccf39c6ee4c0040f13413224bd86e991075 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 1000.00000000 5 93701.50070000 132.64411645
47 74835 74822 6153458f7d9974aa1c91b50019f2736beedf32ee93053ba36e812d48ea81ab3e MmbScLjRvv2sxsj8YNkHHRkQfZ6kofKt5Xx 200.00000000 5 93901.50070000 26.52882329
48 75167 75154 7326be291b12db5a47ac53e01bb783f164f398f252b6ee7dc9413cb9afccfcb1 MmaJ2tfSchbPCks8sGZDnp2fsKhmfNEJQCm 5.00000000 5 93906.50070000 0.66322058
49 76894 76881 c426a4cec0fd545cd8abaa467a6eac1274a13fe40630b4516835c01fd185bbaa MmUesAcpTHzDwjkCsMtLRBrPMaEddC32u9o 1000.00000000 5 94906.50070000 132.64411645
50 76895 76882 6584bc21ecb945b6a8bfa452b94c58bec73b2b071f96577e9d5076ab77e0685c MmSeQzm7byCBQUGPHRfQXwk89B5gq7URoLT 999.00000000 5 95905.50070000 132.51147233
51 76906 76893 80555af8d30fe43973f66ac260762020394bb6cfe23d47b0db3f0eacad3b43e2 MmUesAcpTHzDwjkCsMtLRBrPMaEddC32u9o 1000.00000000 5 96905.50070000 132.64411645
52 76963 76950 e493e1c9eded54409643680180006735a6fca86cd3c6f88b9c5d2ce96bc0618c Mmhjd2RwQzbmXzKjvDXNU6Hs4GWWCGhKBYD 499.00000000 5 97404.50070000 66.18941411
53 78130 78117 daeaad703939d4ab27a40b951a81c3f4862bea315b8ca74fe7c419129c80028a Mme6P5vfTQ2KwuDEwhEHbuBmyCRtCJt9jFi 1000.00000000 5 98404.50070000 132.64411645
54 79131 79118 94c578b8e00b9e9e87829d29a90c053aa5985a00b517d1e2b22e4e9ffc53aafc MmS7bQcM6yDKc5UrynFZcN9RxSPiCZLBiFy 999.90000000 5 99404.40070000 132.63085204
55 80196 80183 e5543b01fdc14bb53f4c7570a69e403bca58939120221839814faddd4523a46f MmT1X5ekNjv683YckV8eLwTohr2KmoFHnw9 671.00000000 5 100075.40070000 89.00420214
56 80908 80895 8c03ec5392ad837c08658e25744907c2dd8968940548417ebe279192a81ffda5 MmNL3fqDmxo89C1eMTp5zfWPmmVJG87z32t 2.99900000 5 100078.39970000 0.39779970
57 80988 80975 d66589065263eb19aa4d18092631c46cfe25ac2fa5696ff30d0deb722091945d MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY 10.00000000 5 100088.39970000 1.32644116
58 82478 82465 bc05c522b564fb6b1f647f49f8fddd3f0d1135e9db6cdf5c1bc5f709ead7d12d MmYkY79iP3zScFZ2jFp5zXTKW7MstRwYmEo 2.90000000 5 100091.29970000 0.38466793
59 82627 82614 8c29d311514fa8f5dc5081d36923705ad35450cbf5a5b49bd32b22a63393700d MmbEd9eFQjwRrKprKadaUnMMkg3SYA3eAmV 30.00000000 5 100121.29970000 3.97932349
60 82632 82619 e47fe0a4a5392d5ad9085dc3c756dee067a979375d46158da5241fde91e333e4 MmZb2pxDQtYY5QCD69dx43rM3d5JPdTjbCn 1266.00000000 5 101387.29970000 167.92745142
61 82638 82625 6f41bb845de995bf3ba2f9afba491f4d733e24bef6ce59b0ca7aae9698220a17 MmVYoG5hQ5ANTvSb5y7LpzrXQf2d1e61qQr 100.00000000 5 101487.29970000 13.26441164
62 82920 82907 8cfa261744cc2072635ab125f4ffc7c557143a382fe2646b63494df94bce6de2 MmWQ154JfrGbFW1KrjPVrPetr7X9DDvToqy 132.56219685 5 101619.86189685 17.58359547
63 83021 83008 0c6668c3cb94b7a50320469384fa729417648e4df21a384437f8a0c4baa40839 Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500.00000000 5 102119.86189685 66.32205822
64 83087 83074 8a73cd4f565e01aaa817dbc53227cdfbbc72b8cfd640acc69f71416d0c51b56e Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500.00000000 5 102619.86189685 66.32205822
65 83699 83686 4f365428548d1cc28a0109d3f07ba52d3646aa0a67d3598c9f2b69f19d3373a2 Mma84KVNJ1GH79uswDCyc5rUijzbrErD15q 2500.00000000 5 105119.86189685 331.61029113
66 83770 83757 838d6a0e590d338dc1bab3fbf388583582ef61d7d3805678056163f2f5ad9c86 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 25.00000000 5 105144.86189685 3.31610291
67 83971 83958 dc5ebcaf0c1015e6dabc4d6164f5ec5b9b869d5a6d1e95412380e4eb105d4a4b MmMPh1pauGG3k93ZSkgbyEsoM6iEQwowR6o 1000.00000000 5 106144.86189685 132.64411645
68 84009 83996 24308a031d79d2bce6e9d60d9a696c20df5abb439652914e0a64fc4e2097f497 MmMPh1pauGG3k93ZSkgbyEsoM6iEQwowR6o 999.99000000 5 107144.85189685 132.64279001
