Number Order Height Address Amount(Meer) ComProfit(Meer)
2053 493799 450023 MmirLJXnA5nA8Eih6nQntcm88xCgWDux78w 1100.00000000 127.35028080
2054 493819 450041 MmRdV7ikUvP2hJQicvaG5jFgFMDv2PbCVer 1000.00000000 115.77298255
2055 493878 450086 Mma6BZfQqe63WhEQ8gUGmPCNMxBQyB5PSUM 330.00000000 38.20508424
2056 494027 450204 MmaMsH9WZzGvfhw4dVhsdL7haDS8ANUqzNw 500.00000000 57.88649127
2057 494069 450230 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 31.00000000 3.58896245
2058 494085 450241 MmUfVMCCevLnXpjn8bydxcVjeH45tQN9AQa 4300.00000000 497.82382496
2059 494117 450266 Mmins928YwufXNaBLVxagBbydyZWru41FPD 1000.00000000 115.77298255
2060 494125 450271 MmN3naE5eGGaveXQxvgWs3mnwDvSegyUeey 1000.00000000 115.77298255
2061 494126 450272 Mmins928YwufXNaBLVxagBbydyZWru41FPD 1000.00000000 115.77298255
2062 494232 450360 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 60.00000000 6.94637895
2063 494349 450446 Mmbet8UhP7YSEnz2qUqFJEzxVx2avaPPSdH 3000.00000000 347.31894765
2064 495993 451721 MmSeQzm7byCBQUGPHRfQXwk89B5gq7URoLT 2000.00000000 231.54596510
2065 496092 451798 MmiAZpXeVFKjnYMd9EUoah5vbrrCgSF4WZ5 500.00000000 57.88649127
2066 496172 451857 MmQ33V3wkW6RqZgF6VVLqQK7pMLtRvUsz6b 700.00000000 81.04108778
2067 496253 451917 MmXht9tYkenMUdhc875mmtCU3EMPRc6L69f 195.10000000 22.58730889
2068 496315 451960 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 267.00000000 30.91138634
2069 496326 451970 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 30.00000000 3.47318947
2070 496366 452001 MmYi8hbQgRuETCeiAbjrCK5KP93bEPEMf6g 172.00000000 19.91295299
2071 496392 452021 Mmer4N2srL3ywEG72RDG9JCwKaFmjayw6pr 350.00000000 40.52054389
2072 496510 452116 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 30.00000000 3.47318947
2073 496555 452145 MmRmHSULFn7tCmgAXhqmVyzthVQJJWiYbbV 1000.00000000 115.77298255
2074 496576 452163 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 1000.00000000 115.77298255
2075 496611 452189 MmUkWYis5XQhkKWhZ4uQPF9B8z5aY3vEAyw 2000.00000000 231.54596510
2076 496755 452299 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 90.00000000 10.41956842
2077 496903 452409 MmUrXcCprFumxW3J6E6bRL25DbAtQkLBoXp 220.00000000 25.47005616
2078 496952 452449 MmSSSw11NmiAzMqvCC5TdqhXzmV4sk9azaY 1000.00000000 115.77298255
2079 497205 452631 Mmg5KaPmsKHzwG18pG8rHwNvbbaYJM9BdEh 3000.00000000 347.31894765
2080 497306 452708 MmKxbzjqUWCN7r14sqLwmVGxbTGcyYaQyqj 24568.00000000 2844.31063529
2081 497338 452732 MmUFckCtS2zjANB3aA1sEJkzjqvyBrxdSjm 2500.00000000 289.43245637
2082 497540 452881 MmeN9r23sRyEYE11KHe3gDEUmr52y6L6puk 20000.00000000 2315.45965100
2083 497812 453087 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 50.00000000 5.78864912
2084 497905 453158 MmTj8G6QyrAJhunACnLJAz1XQahwLYHyuvN 535.00000000 61.93854566
2085 498080 453294 MmcKng33C4tqhrN7XtgtLo6NLYEAEfKd3jv 500.00000000 57.88649127
2086 500046 454775 MmWC4uZxcLr7MnMyzWG97PCXKBhdgBch1Kt 34148.00000000 3953.41580812
2087 500212 454901 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 260.00000000 30.10097546
2088 500270 454935 MmhWjdm7RkUGtUXk8CEkH3KxaDwJs9WWpv8 159.00000000 18.40790422
2089 500277 454938 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 111.00000000 12.85080106
2090 500986 455480 MmaSqCucfrpvRkqkBc53JSLXLipEjWMC51g 500.00000000 57.88649127
2091 500989 455483 MmcHdgeXSqmaPaJCpM6QpVdPqKQeMVRVWkB 222.00000000 25.70160212
2092 501018 455504 MmRE1R5jU7u6vFb8CwULBDVrZwM8Mrt3X8T 60.00000000 6.94637895
2093 501347 455754 MmiWBhX1pCh2a8GBvWzSW7tc5uQ3x2mU2Up 200.00000000 23.15459651
2094 501600 455929 MmYcg229AEtNdHB5BVpvvowkH6E4T2Cpmdh 200.00000000 23.15459651
2095 501686 455997 MmaPTStuTWsaXCUhRdDnFWkUunucBiSRxPT 73.00000000 8.45142772
2096 501809 456090 MmP1Uj7hcLxkSdjamxpsSKmrFQzjHaEid7e 943.00000000 109.17392254
2097 502465 456589 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 500.00000000 57.88649127
2098 503910 457660 MmTiSuYqgn53iTQjU2iMSVEhfq5JFie74ge 1800.00000000 208.39136859
2099 503974 457707 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 346.00000000 40.05745196
2100 504090 457801 MmaPTStuTWsaXCUhRdDnFWkUunucBiSRxPT 40.00000000 4.63091930
2101 504220 457900 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 135.00000000 15.62935264
2102 504285 457948 MmZTdGsmATi9HdkKr4TJjA81vyFM19S2AYe 5000.00000000 578.86491275
2103 504307 457965 MmfJNMM53dsoKBwJvgCQGpmnB3vmXDCSY2G 1000.00000000 115.77298255
2104 504393 458035 MmZWtGhSPHdepauSATGPGDJ1eLvaeWSZAiG 1000.00000000 115.77298255
2105 504455 458074 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 34.00000000 3.93628140
2106 504474 458088 MmNFV8WgmxHNCTApT2rWYB5bf9YFMPsgQTr 643.00000000 74.44202777
2107 504510 458118 MmZK62ew7q6LXs8bdrtspTd9z2Dw4mhTs81 300.00000000 34.73189476
2108 504585 458178 MmhWjdm7RkUGtUXk8CEkH3KxaDwJs9WWpv8 132.00000000 15.28203369
2109 504605 458193 MmQGqgZ3QxgWaCr2dADWXB5JZsxxzsr65eT 380.00000000 43.99373336
2110 504682 458253 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 4000.00000000 463.09193020
2111 504701 458269 MmirLJXnA5nA8Eih6nQntcm88xCgWDux78w 900.00000000 104.19568429
2112 504787 458341 MmcnmbvX441EdLhxD9SjMnXvhrfJJt1Bx4L 280.00000000 32.41643511
2113 504804 458355 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 5000.00000000 578.86491275
2114 504898 458426 MmeV7qxaZ7bUE7mX4i1ZoraXXTKn3uRZJ22 487.00000000 56.38144250
2115 504960 458476 MmaSqCucfrpvRkqkBc53JSLXLipEjWMC51g 70.00000000 8.10410877
2116 505164 458624 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 50.00000000 5.78864912
2117 505392 458783 MmYi8hbQgRuETCeiAbjrCK5KP93bEPEMf6g 84.00000000 9.72493053
2118 505463 458840 MmYfc3JmygGmzje3RroCcxSxEDHZZF3pjwM 819.00000000 94.81807270
2119 505650 458991 MmSmuexLnCnnDmCWX32dH5VTzB8dEzXTSjR 2000.00000000 231.54596510
2120 505715 459043 MmMk4CA1CjqP3BejHRfx8H1XUQKTu8Gt293 1144.00000000 132.44429203
2121 506057 459314 MmPbQSu9Vp8obsGhyERBMYFqq8WGzugo4so 983.85000000 113.90324888
2122 506231 459439 MmYcg229AEtNdHB5BVpvvowkH6E4T2Cpmdh 200.00000000 23.15459651
2123 506669 459766 MmSXTLNDuyNULDhhzb3JoxgJMjDtGSfGjER 500.00000000 57.88649127
2124 507190 460163 MmhTJ8XmAC33m2wCa1wgQg7BT4SBsBxPyFM 6027.49403950 697.82096225
2125 507295 460240 Mma6BZfQqe63WhEQ8gUGmPCNMxBQyB5PSUM 325.00000000 37.62621932
2126 507534 460458 Mma4U6gsAyEPbboGvoy7YejAUxWsoFvEdy1 75.00000000 8.68297369
2127 507673 460564 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 40.00000000 4.63091930
2128 507687 460575 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 385.00000000 44.57259828
2129 507708 460593 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 134.00000000 15.51357966
2130 507738 460610 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 73.00000000 8.45142772
2131 507810 460669 MmWSXnMoxiZuma4D7TYpQZ6uLFYpiXa8c8X 40.00000000 4.63091930
2132 508080 460927 MmRE1R5jU7u6vFb8CwULBDVrZwM8Mrt3X8T 678.00000000 78.49408216
2133 508346 461156 MmNpvxoY7vRPAs8WFeYzyqBJdfYTXs8phpN 47.00000000 5.44133017
2134 508449 461244 MmhBbQniXFgB12aCap9hu2q1UHaJFQFuNtP 500.00000000 57.88649127
2135 508526 461306 MmVne7YSoFQbZ6qjUJWuDxPi93k6UoA5Zy4 1144.00000000 132.44429203
2136 508549 461328 MmVhPmodhV1q2HjLXWoZ7d9mYLUC2TnYe72 568.50000000 65.81694057
2137 508654 461427 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 95.00000000 10.99843334
2138 508679 461445 MmNMy1AAAjceXTZMp4KTBhk8upSgfkcerXT 282.00000000 32.64798107
2139 508745 461507 MmfAeX87MJHx137oTzGgKBLnBKuHfjYyR5q 1010.00000000 116.93071237
2140 508775 461528 MmfAeX87MJHx137oTzGgKBLnBKuHfjYyR5q 909.00000000 105.23764113
2141 508933 461677 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 1000.00000000 115.77298255
2142 508949 461691 MmPZjMXJTrXrDXoBQgYdJVGna1AHCWQFGQu 1000.00000000 115.77298255
2143 509883 462607 MmbP5sZDPaFfgVmYJzMQK1tVNkXha7B4HHe 500.00000000 57.88649127
2144 510086 462805 MmLFk5b39dDpPjw7B6Pj9D5RDwAa8Lbz9Px 452.00000000 52.32938811
2145 510568 463277 Mma1eYB14DLhGBohkq7u9CJY7UYHVEWaN4G 5000.00000000 578.86491275
2146 510689 463377 MmYcg229AEtNdHB5BVpvvowkH6E4T2Cpmdh 200.00000000 23.15459651
2147 510721 463403 MmLFk5b39dDpPjw7B6Pj9D5RDwAa8Lbz9Px 120.00000000 13.89275790
2148 510733 463415 MmRADFuFtL9oGty49b4GopUqri18az7KJ1k 1000.00000000 115.77298255
2149 510811 463477 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 136.00000000 15.74512562
2150 510958 463597 MmMZwEbZJ563mZdsgAQmJfpuWwhnmhzTyWs 480.00000000 55.57103162
2151 510975 463613 MmSAMsEVacrFV5WP6bcrADU3HxYBnB4ry4j 200.00000000 23.15459651
2152 510999 463631 MmdFcbshtg8PUqPTM2hMX1pzsxjq3CRVakf 10.00000000 1.15772982
2153 511104 463719 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 361.00000000 41.79404670
2154 511143 463758 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 41.00000000 4.74669228
2155 511160 463772 MmhWjdm7RkUGtUXk8CEkH3KxaDwJs9WWpv8 111.00000000 12.85080106
2156 511160 463772 MmSZ8gNwhGK9aBdQf63ByekBeQvtJFBaNZf 500.00000000 57.88649127
2157 511173 463781 MmZ8SCnbxD48wNoV5b26ZoZ9dmhfucSr1rL 251.00000000 29.05901862
2158 511341 463943 MmNpvxoY7vRPAs8WFeYzyqBJdfYTXs8phpN 44.00000000 5.09401123
2159 511349 463950 MmNpvxoY7vRPAs8WFeYzyqBJdfYTXs8phpN 43.00000000 4.97823824
2160 511454 464041 MmQPCVJDK8YM25hPd6p6M25TixdgDV1nsiA 503.00000000 58.23381022
2161 511537 464120 MmXbB5UaRtGZXUkd54jXcz9J2BaNTF9VXQq 100.00000000 11.57729825
2162 511564 464146 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 50.00000000 5.78864912
2163 511797 464359 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 83.00000000 9.60915755
2164 512030 464580 Mmd6TXvV5HYrJuw2C7drbGHCjtaDtxLFcnL 304.00000000 35.19498669
2165 512187 464730 MmXZG2cwZDTN5xVF3XV9enUBe7eRB2K2cmC 400.00000000 46.30919302
2166 512348 464884 MmNFV8WgmxHNCTApT2rWYB5bf9YFMPsgQTr 366.00000000 42.37291161
2167 512636 465149 MmMZFPMZ3KYMzj6EXQjckQvKqz3SC6t4vDF 5000.00000000 578.86491275
2168 513576 466083 MmYcg229AEtNdHB5BVpvvowkH6E4T2Cpmdh 100.00000000 11.57729825
2169 513640 466141 MmfjeaNYhXw41HSCWM4MukFKhfYYhsUe86S 1000.00000000 115.77298255
2170 513742 466228 MmSAMsEVacrFV5WP6bcrADU3HxYBnB4ry4j 328.00000000 37.97353827
2171 513852 466323 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 367.00000000 42.48868459
2172 514010 466453 MmdQV9FXLy1xQGJ6aLFgLPLUNceJ94L2p81 2000.00000000 231.54596510
2173 514098 466533 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 60.00000000 6.94637895
2174 514108 466541 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 40.00000000 4.63091930
2175 514180 466598 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 60.00000000 6.94637895
2176 514181 466599 MmMPh1pauGG3k93ZSkgbyEsoM6iEQwowR6o 1050.00000000 121.56163167
2177 514194 466610 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 40.00000000 4.63091930
2178 514299 466692 MmTcWSYjy6UeZHjR5mvWSLHfoTPvKxDdcQ5 500.00000000 57.88649127
2179 514306 466697 MmTcWSYjy6UeZHjR5mvWSLHfoTPvKxDdcQ5 500.00000000 57.88649127
2180 514375 466742 MmY5p5ztUkmy7S5ybd8yERsXYgVntvY2FjC 5000.00000000 578.86491275
2181 514382 466749 MmSmuexLnCnnDmCWX32dH5VTzB8dEzXTSjR 3550.00000000 410.99408805
2182 514412 466765 MmfBSxK6o4hzTXArtvtfwURvLkcEL2mdEDx 50.00000000 5.78864912
2183 514487 466818 Mmd66KYj7PgEvjwtySSNPP8ku9eTWy6RoPw 400.00000000 46.30919302
2184 514952 467148 MmM9gYK1CvKav95zg5w7z5QqzVYxmrWjtE8 2000.00000000 231.54596510
2185 515150 467286 MmR2WjMvoWHvX6qyT1BEArUGctBNkzS1Jxa 999.00000000 115.65720956
2186 515228 467333 MmhcN3xqHS6xoPazjtqpZp3sLjGgg7yx5Tc 999.00000000 115.65720956
2187 515293 467375 MmhTJ8XmAC33m2wCa1wgQg7BT4SBsBxPyFM 2615.73800000 302.83178982
2188 515418 467455 MmhTJ8XmAC33m2wCa1wgQg7BT4SBsBxPyFM 744.05568100 86.14154537
2189 515535 467532 MmaLZ7hNzUEQwyrwVztxHSxFNtDtTUi14uh 0.09000000 0.01041956
2190 515884 467801 MmcHdgeXSqmaPaJCpM6QpVdPqKQeMVRVWkB 212.00000000 24.54387230
2191 517220 468799 MmbqCrqt2kZCM3j1ax1Fp15N6sH7HbG3Dtj 500.00000000 57.88649127
2192 517649 469110 MmVbvn9P4Smekscv9JAcfMd1tUa6fkPey1Q 1741.88250000 201.66293227
2193 517839 469238 MmYcg229AEtNdHB5BVpvvowkH6E4T2Cpmdh 100.00000000 11.57729825
2194 517940 469317 MmX5a4NG8SJKTyPrMeUtXAX1s8j6ZhCmm7J 1000.00000000 115.77298255
2195 517960 469334 Mmgr4AcQ84Jkzu1ssVfUpSMgNLybin5ex3S 500.00000000 57.88649127
2196 518046 469405 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 296.00000000 34.26880283
2197 518083 469429 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 35.00000000 4.05205438
2198 518231 469534 MmPVnee3txzJ4sjoJGv7JMpbYyoUsMi91zz 150.00000000 17.36594738
2199 518287 469574 MmSmuexLnCnnDmCWX32dH5VTzB8dEzXTSjR 1000.00000000 115.77298255
2200 518358 469625 MmUoK7TCKdzfZLNGZggxaMhDdhuDs4w6Gdf 291.00000000 33.68993792
2201 518689 469887 MmMP7qSXAUak3SyzEtALtd7HH9FZzNxi6qZ 1000.00000000 115.77298255
2202 518749 469937 MmLixvJUufpqjNtMCoEfo2pe2R1r7Pz1inA 200.00000000 23.15459651
2203 518914 470064 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 16.00000000 1.85236772
2204 519134 470215 MmYi8hbQgRuETCeiAbjrCK5KP93bEPEMf6g 163.00000000 18.87099615
2205 519143 470218 MmNviYQthctB9tmME78AW2nprJCCpqTptw7 1000.00000000 115.77298255
2206 519267 470314 MmZNd74kJmydovfGvrpiJ5pZX3kWNiRzENQ 200.00000000 23.15459651
2207 519727 470658 MmaSqCucfrpvRkqkBc53JSLXLipEjWMC51g 100.00000000 11.57729825
