Number Order Height TxHash Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
1 3369 3365 67969328549a29b02a918a1e2385968dca153e7be89500682c64798c69f541bc Mmf93CE9Cvvf3chYYn1okcBFB22u5wH2dyg 1000.00000000 5 1000.00000000 133.87799085
2 41827 41814 fa208d193c31a28f695a4da46a43e2186e8111641d19d3fd3fe34bb1c2c1acb8 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 7000.00000000 5 8000.00000000 937.14593600
3 41873 41860 0b3426de7aeb10838bfbb383394867a157c7c4448d38ba17f823ffda24dc9905 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 6500.00000000 5 14500.00000000 870.20694057
4 42334 42321 f56956012aba8945627e9c7f9258a08a6c6e0e45c3de5d3232a27a0a01ec3ace Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1500.00000000 5 16000.00000000 200.81698628
5 42338 42325 fb743ac48e2096289df1cfdaeb9b5d74893a20bb3394b82eadd77b54863a5af2 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1000.00000000 5 17000.00000000 133.87799085
6 42345 42332 bc508bcf6557dc1cd55c4c54421047f4641eae65a8f740dc94723604461c8942 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1500.00000000 5 18500.00000000 200.81698628
7 42355 42342 71dc8e9f1f58a3f15c6c5244feffe3f7f33982d94611e852e8173f86c81a6a23 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 17500.00000000 5 36000.00000000 2342.86484000
8 42363 42350 9fa4ba0c4b886a5d3090842f8014d42413b56ece798dccb7122ef277286da033 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 5000.00000000 5 41000.00000000 669.38995428
9 42380 42367 f2b3aa9a46d8bf1fb4a89b42ea9f3406ea25ca5f2230279de0fb6ed3873d781d Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1500.00000000 5 42500.00000000 200.81698628
10 42760 42747 a0105dbfc0fa4b2af0eae2226e2cd0461bb3650d0872f9bd63344c7df3e8f024 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 5000.00000000 5 47500.00000000 669.38995428
11 43893 43880 48a3d11b4553c43d849ba777bd14a3be27ae1145f0d03a29b185981110b3ff95 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 1500.00000000 5 49000.00000000 200.81698628
12 43898 43885 0367cce029adc5e90f986561f40e306b2a811d09dbc09d0fbd244fe1a2d1b131 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 2000.00000000 5 51000.00000000 267.75598171
