Number Order Height Address Amount(Meer) ComProfit(Meer)
2490 608860 540443 MmSeQzm7byCBQUGPHRfQXwk89B5gq7URoLT 3000.00000000 508.72554311
2491 608868 540451 MmTauM6mirspAPv8WesYErfRHd3yV3oihkB 387.00000000 65.62559506
2492 608879 540460 MmPQcQDjt9QischqBSDog3jg9zwRTNDaTgs 451.00000000 76.47840664
2493 608912 540486 MmaMsH9WZzGvfhw4dVhsdL7haDS8ANUqzNw 1000.00000000 169.57518103
2494 608937 540507 MmiMeyoaG6ewrYhwWwhFrxTonqKS4JuamzK 323.00000000 54.77278347
2495 609769 541185 MmUoK7TCKdzfZLNGZggxaMhDdhuDs4w6Gdf 251.00000000 42.56337044
2496 610043 541432 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 50.00000000 8.47875905
2497 610157 541523 MmSDcTFaLcFNNcEeszEsALn2Pa7E5DNUu5C 3979.00000000 674.73964535
2498 610249 541606 MmiqhELRfm5hxMjVPf8s8ExVTBkWkiHkjgC 1439.00000000 244.01868551
2499 610284 541632 MmRK6sZFWqrssobMyAtiqWNZVjgPcMBzM3i 198.00000000 33.57588584
2500 610293 541638 MmXiUWVkmbeh2QBjsHZHqNAfh29d7efs3qN 1300.00000000 220.44773535
2501 610399 541726 Mmb7DePkSVtHe5MGGtPDEpBFiQuR1ToKtUs 10810.70000000 1833.22640966
2502 610399 541726 MmUCvVYQsRyY31sivNquE1AmfdJ539hTz3D 245.00000000 41.54591935
2503 610789 542050 Mmf6Ez1qWZtnfLjcDKFdom8URzcchgMBcnZ 1000.00000000 169.57518103
2504 611105 542314 MmRdV7ikUvP2hJQicvaG5jFgFMDv2PbCVer 500.00000000 84.78759051
2505 611722 542858 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 30.00000000 5.08725543
2506 613064 544006 MmU1zZKeETSahXgbLK1uj7xCuK91fU2mpwQ 1000.00000000 169.57518103
2507 613221 544131 MmfD3tKoLSp8jcZuBvhBpv8vxfNEdMbR9Ar 21000.00000000 3561.07880183
2508 614297 545049 MmPnWZw83eqTZ3CHkSp2HpDkFC8eRkPVvbd 500.00000000 84.78759051
2509 615492 546064 MmfJNMM53dsoKBwJvgCQGpmnB3vmXDCSY2G 100.00000000 16.95751810
2510 615929 546416 MmVQeurhZakXzD3V8RkDFx22cUG96QXbjcC 2200.00000000 373.06539828
